tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,closest,days_bt_x_and_y,winner_rank,winner_points,loser_rank,loser_points
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,105882,Stefano Travaglia,ITA,2020-01-06,0 days,17.0,1840.0,82.0,637.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,104545,John Isner,USA,2020-01-06,0 days,5.0,5705.0,19.0,1770.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,126203,Taylor Fritz,USA,2020-01-06,0 days,17.0,1840.0,31.0,1315.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,134770,Casper Ruud,NOR,2020-01-06,0 days,5.0,5705.0,53.0,949.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,126340,Viktor Durasovic,NOR,2020-01-06,0 days,17.0,1840.0,329.0,117.0
Atp Cup,Hard,A,2020-01-06,104926,Fabio Fognini,ITA,104545,John Isner,USA,2020-01-06,0 days,12.0,2290.0,19.0,1770.0
Atp Cup,Hard,A,2020-01-06,105882,Stefano Travaglia,ITA,126203,Taylor Fritz,USA,2020-01-06,0 days,82.0,637.0,31.0,1315.0
Atp Cup,Hard,A,2020-01-06,134770,Casper Ruud,NOR,104926,Fabio Fognini,ITA,2020-01-06,0 days,53.0,949.0,12.0,2290.0
Atp Cup,Hard,A,2020-01-06,105882,Stefano Travaglia,ITA,126340,Viktor Durasovic,NOR,2020-01-06,0 days,82.0,637.0,329.0,117.0
Atp Cup,Hard,A,2020-01-06,134770,Casper Ruud,NOR,104545,John Isner,USA,2020-01-06,0 days,53.0,949.0,19.0,1770.0
Atp Cup,Hard,A,2020-01-06,126203,Taylor Fritz,USA,126340,Viktor Durasovic,NOR,2020-01-06,0 days,31.0,1315.0,329.0,117.0
Atp Cup,Hard,A,2020-01-06,106432,Borna Coric,CRO,106233,Dominic Thiem,AUT,2020-01-06,0 days,28.0,1415.0,4.0,5825.0
Atp Cup,Hard,A,2020-01-06,105227,Marin Cilic,CRO,110602,Dennis Novak,AUT,2020-01-06,0 days,38.0,1165.0,105.0,524.0
Atp Cup,Hard,A,2020-01-06,106233,Dominic Thiem,AUT,106043,Diego Schwartzman,ARG,2020-01-06,0 days,4.0,5825.0,13.0,2125.0
Atp Cup,Hard,A,2020-01-06,110602,Dennis Novak,AUT,105550,Guido Pella,ARG,2020-01-06,0 days,105.0,524.0,25.0,1530.0
Atp Cup,Hard,A,2020-01-06,128034,Hubert Hurkacz,POL,106233,Dominic Thiem,AUT,2020-01-06,0 days,37.0,1198.0,4.0,5825.0
Atp Cup,Hard,A,2020-01-06,200390,Kacper Zuk,POL,110602,Dennis Novak,AUT,2020-01-06,0 days,448.0,70.0,105.0,524.0
Atp Cup,Hard,A,2020-01-06,106043,Diego Schwartzman,ARG,106432,Borna Coric,CRO,2020-01-06,0 days,13.0,2125.0,28.0,1415.0
Atp Cup,Hard,A,2020-01-06,105550,Guido Pella,ARG,105227,Marin Cilic,CRO,2020-01-06,0 days,25.0,1530.0,38.0,1165.0
Atp Cup,Hard,A,2020-01-06,128034,Hubert Hurkacz,POL,106432,Borna Coric,CRO,2020-01-06,0 days,37.0,1198.0,28.0,1415.0
Atp Cup,Hard,A,2020-01-06,105227,Marin Cilic,CRO,200390,Kacper Zuk,POL,2020-01-06,0 days,38.0,1165.0,448.0,70.0
Atp Cup,Hard,A,2020-01-06,128034,Hubert Hurkacz,POL,106043,Diego Schwartzman,ARG,2020-01-06,0 days,37.0,1198.0,13.0,2125.0
