id,name,state,rank,points
106415,Yoshihito Nishioka,JPN,73,764
105819,Guido Andreozzi,ARG,132,421
105373,Martin Klizan,SVK,141,373
105023,Sam Querrey,USA,44,1100
124187,Reilly Opelka,USA,36,1243
126207,Frances Tiafoe,USA,47,1050
200615,Alexei Popyrin,AUS,97,585
106298,Lucas Pouille,FRA,22,1600
104745,Rafael Nadal,ESP,1,9985
105936,Filip Krajinovic,SRB,40,1148
105227,Marin Cilic,CRO,39,1165
106109,Alex Bolt,AUS,159,328
103819,Roger Federer,SUI,3,6590
105554,Daniel Evans,GBR,42,1124
106121,Taro Daniel,JPN,110,501
100644,Alexander Zverev,GER,7,3345
105341,Thomas Fabbiano,ITA,114,482
106233,Dominic Thiem,AUT,4,5825
111575,Karen Khachanov,RUS,17,1840
106432,Borna Coric,CRO,28,1415
105676,David Goffin,BEL,11,2335
111202,Hyeon Chung,KOR,128,428
133430,Denis Shapovalov,CAN,15,2050
104792,Gael Monfils,FRA,10,2530
104678,Viktor Troicki,SRB,158,330
105882,Stefano Travaglia,ITA,84,637
105967,Henri Laaksonen,SUI,104,548
105657,Marius Copil,ROU,153,344
105992,Ryan Harrison,USA,302,131
111456,Mackenzie McDonald,USA,129,425
105430,Radu Albot,MDA,46,1067
104655,Pablo Cuevas,URU,45,1097
104898,Robin Haase,NED,162,316
105051,Matthew Ebden,AUS,244,195
106228,Juan Ignacio Londero,ARG,50,1017
105643,Federico Delbonis,ARG,76,732
105379,Aljaz Bedene,SLO,58,905
106398,Pedro Cachin,ARG,363,104
105561,Alessandro Giannessi,ITA,148,361
105077,Albert Ramos,ESP,41,1130
132283,Lorenzo Sonego,ITA,52,990
106148,Roberto Carballes Baena,ESP,80,664
104571,Marcos Baghdatis,CYP,179,285
126156,Antoine Hoang,FRA,116,478
104719,Marcel Granollers,ESP,111,497
120424,Yannick Maden,GER,126,429
104978,Daniel Brands,GER,465,66
105062,Mikhail Kukushkin,KAZ,67,816
106426,Christian Garin,CHI,33,1297
111790,Brayden Schnur,CAN,106,534
104545,John Isner,USA,19,1770
103893,Paolo Lorenzi,ITA,115,480
105359,Jason Jung,TPE,127,429
106071,Bernard Tomic,AUS,185,273
111153,Christopher Eubanks,USA,228,215
104797,Denis Istomin,UZB,177,288
106000,Damir Dzumhur,BIH,93,594
134868,Tallon Griekspoor,NED,178,288
105223,Juan Martin del Potro,ARG,122,460
105449,Steve Johnson,USA,85,630
105173,Adrian Mannarino,FRA,43,1111
144750,Lloyd Harris,RSA,99,576
105041,Lukas Lacko,SVK,183,280
104660,Sergiy Stakhovsky,UKR,150,350
104897,Matthias Bachinger,GER,223,218
128034,Hubert Hurkacz,POL,37,1198
106296,Gregoire Barrere,FRA,82,648
200000,Felix Auger Aliassime,CAN,21,1636
134770,Casper Ruud,NOR,54,956
106198,Hugo Dellien,BOL,75,743
106329,Thiago Monteiro,BRA,89,616
103852,Feliciano Lopez,ESP,62,888
106078,Egor Gerasimov,BLR,98,581
105477,Marco Trungelliti,ARG,209,236
205734,Thiago Seyboth Wild,BRA,211,235
106378,Kyle Edmund,GBR,69,800
105432,Prajnesh Gunneswaran,IND,124,442
106218,Marcos Giron,USA,102,574
106216,Bjorn Fratangelo,USA,207,239
111577,Jared Donaldson,USA,720,25
104386,Janko Tipsarevic,SRB,219,225
104999,Mischa Zverev,GER,281,144
122330,Alexander Bublik,KAZ,56,919
104665,Pablo Andujar,ESP,64,867
123755,Daniel Elahi Galan,COL,191,263
105053,Santiago Giraldo,COL,274,151
104629,Adrian Menendez Maceiras,ESP,227,216
200095,Nicola Kuhn,ESP,214,232
105226,Attila Balazs,HUN,133,418
206173,Jannik Sinner,ITA,78,671
200221,Alejandro Davidovich Fokina,ESP,87,627
106249,Joao Domingues,POR,173,294
200484,Rudolf Molleker,GER,164,308
104755,Richard Gasquet,FRA,61,890
106137,Tristan Lamasine,FRA,222,221
105731,Steven Diez,CAN,136,411
144895,Corentin Moutet,FRA,83,638
106099,Salvatore Caruso,ITA,96,586
200611,Elliot Benchetrit,FRA,217,227
144707,Mikael Ymer,SWE,74,763
103917,Nicolas Mahut,FRA,194,260
106214,Oscar Otte,GER,163,315
104460,Dustin Brown,GER,203,246
105614,Bradley Klahn,USA,135,415
123795,Altug Celikbilek,TUR,326,121
105906,Kevin Krawietz,GER,620,35
136440,Dominik Koepfer,GER,94,592
126652,Jay Clarke,GBR,154,335
111200,Elias Ymer,SWE,176,290
110602,Dennis Novak,AUT,108,524
111794,Kamil Majchrzak,POL,101,575
105487,Facundo Bagnis,ARG,137,405
126120,Nino Serdarusic,CRO,278,146
126952,Soon Woo Kwon,KOR,88,622
110536,Kevin King,USA,298,134
105649,Cedrik Marcel Stebe,GER,165,307
126237,Gian Marco Moroni,ITA,259,176
124116,Sebastian Ofner,AUT,156,333
106075,Jozef Kovalik,SVK,139,379
106423,Thanasi Kokkinakis,AUS,199,256
105613,Norbert Gombos,SVK,109,507
126205,Tommy Paul,USA,90,611
117360,Marc Polmans,AUS,134,417
