tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Australian Open,Hard,G,2019-01-14,105227,Marin Cilic,CRO,104269,Fernando Verdasco,ESP,39,1165,49,1025
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,200282,Alex De Minaur,AUS,1,9985,18,1775
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,106298,Lucas Pouille,FRA,2,9145,22,1600
Australian Open,Hard,G,2019-01-14,106109,Alex Bolt,AUS,104468,Gilles Simon,FRA,159,328,55,955
Australian Open,Hard,G,2019-01-14,126203,Taylor Fritz,USA,104792,Gael Monfils,FRA,32,1315,10,2530
Australian Open,Hard,G,2019-01-14,104312,Andreas Seppi,ITA,105449,Steve Johnson,USA,72,776,85,630
Australian Open,Hard,G,2019-01-14,105311,Joao Sousa,POR,104259,Philipp Kohlschreiber,GER,60,891,79,665
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,106283,Mitchell Krueger,USA,2,9145,167,304
Australian Open,Hard,G,2019-01-14,103819,Roger Federer,SUI,105554,Daniel Evans,GBR,3,6590,42,1124
Australian Open,Hard,G,2019-01-14,105453,Kei Nishikori,JPN,111794,Kamil Majchrzak,POL,13,2180,101,575
Australian Open,Hard,G,2019-01-14,126774,Stefanos Tsitsipas,GRE,104678,Viktor Troicki,SRB,6,5300,158,330
Australian Open,Hard,G,2019-01-14,106421,Daniil Medvedev,RUS,144750,Lloyd Harris,RSA,5,5705,99,576
Australian Open,Hard,G,2019-01-14,106043,Diego Schwartzman,ARG,200484,Rudolf Molleker,GER,14,2125,164,308
Australian Open,Hard,G,2019-01-14,105932,Nikoloz Basilashvili,GEO,111153,Christopher Eubanks,USA,26,1450,228,215
Australian Open,Hard,G,2019-01-14,105932,Nikoloz Basilashvili,GEO,105882,Stefano Travaglia,ITA,26,1450,84,637
Australian Open,Hard,G,2019-01-14,105807,Pablo Carreno Busta,ESP,104563,Luca Vanni,ITA,27,1422,306,130
Australian Open,Hard,G,2019-01-14,104269,Fernando Verdasco,ESP,200175,Miomir Kecmanovic,SRB,49,1025,59,901
Australian Open,Hard,G,2019-01-14,200282,Alex De Minaur,AUS,105967,Henri Laaksonen,SUI,18,1775,104,548
Australian Open,Hard,G,2019-01-14,104468,Gilles Simon,FRA,106216,Bjorn Fratangelo,USA,55,955,207,239
Australian Open,Hard,G,2019-01-14,105554,Daniel Evans,GBR,105147,Tatsuma Ito,JPN,42,1124,147,362
Australian Open,Hard,G,2019-01-14,106121,Taro Daniel,JPN,106423,Thanasi Kokkinakis,AUS,110,501,199,256
Australian Open,Hard,G,2019-01-14,109739,Maximilian Marterer,GER,105163,Gleb Sakharov,FRA,239,198,414,82
Australian Open,Hard,G,2019-01-14,126207,Frances Tiafoe,USA,105432,Prajnesh Gunneswaran,IND,47,1050,124,442
Australian Open,Hard,G,2019-01-14,104925,Novak Djokovic,SRB,104542,Jo-Wilfried Tsonga,FRA,2,9145,29,1410
Australian Open,Hard,G,2019-01-14,104745,Rafael Nadal,ESP,105902,James Duckworth,AUS,1,9985,100,576
